geoName,coordinates,Donald Trump,Joe Biden
Albuquerque,"{'lat': 35.0853336, 'lng': -106.6055534}",60,40
Altamonte Springs,"{'lat': 28.6611089, 'lng': -81.3656242}",55,45
Atlanta,"{'lat': 33.7489954, 'lng': -84.3879824}",57,43
Aurora,"{'lat': 39.7294319, 'lng': -104.8319195}",59,41
Austin,"{'lat': 30.267153, 'lng': -97.7430608}",59,41
Bakersfield,"{'lat': 35.3732921, 'lng': -119.0187125}",63,37
Baltimore,"{'lat': 39.2903848, 'lng': -76.6121893}",56,44
Birmingham,"{'lat': 33.5206608, 'lng': -86.80249}",54,46
Boston,"{'lat': 42.3600825, 'lng': -71.0588801}",55,45
Buffalo,"{'lat': 42.8864468, 'lng': -78.8783689}",64,36
Chapmansboro,"{'lat': 36.353885, 'lng': -87.144726}",56,44
Charlotte,"{'lat': 35.2270869, 'lng': -80.8431267}",56,44
Chicago,"{'lat': 41.8781136, 'lng': -87.6297982}",59,41
Cleveland,"{'lat': 41.49932, 'lng': -81.6943605}",60,40
Columbus,"{'lat': 39.9611755, 'lng': -82.9987942}",56,44
Dallas,"{'lat': 32.7766642, 'lng': -96.7969879}",60,40
Denver,"{'lat': 39.7392358, 'lng': -104.990251}",58,42
Detroit,"{'lat': 42.331427, 'lng': -83.0457538}",60,40
El Paso,"{'lat': 31.7618778, 'lng': -106.4850217}",66,34
Ferris,"{'lat': 32.5340262, 'lng': -96.6655488}",57,43
Fort Lauderdale,"{'lat': 26.1224386, 'lng': -80.1373174}",61,39
Fort Worth,"{'lat': 32.7554883, 'lng': -97.3307658}",61,39
Fresno,"{'lat': 36.7468422, 'lng': -119.7725868}",65,35
Golden Valley,"{'lat': 44.9917149, 'lng': -93.3600034}",57,43
Grafton,"{'lat': 42.2070391, 'lng': -71.6856236}",57,43
Henderson,"{'lat': 36.0395247, 'lng': -114.9817213}",60,40
Hialeah,"{'lat': 25.8575963, 'lng': -80.2781057}",65,35
Houston,"{'lat': 29.7604267, 'lng': -95.3698028}",61,39
Hyattsville,"{'lat': 38.9559442, 'lng': -76.9455301}",57,43
Indianapolis,"{'lat': 39.768403, 'lng': -86.158068}",57,43
Jacksonville,"{'lat': 30.3321838, 'lng': -81.655651}",56,44
Kansas City,"{'lat': 39.0997265, 'lng': -94.5785667}",58,42
Lake Forest Park,"{'lat': 47.7566327, 'lng': -122.2807326}",56,44
Las Vegas,"{'lat': 36.1699412, 'lng': -115.1398296}",61,39
Long Beach,"{'lat': 33.7700504, 'lng': -118.1937395}",61,39
Los Angeles,"{'lat': 34.0522342, 'lng': -118.2436849}",61,39
Louisville,"{'lat': 38.2526647, 'lng': -85.7584557}",59,41
Memphis,"{'lat': 35.1495343, 'lng': -90.0489801}",64,36
Mesa,"{'lat': 33.4151843, 'lng': -111.8314724}",56,44
Miami,"{'lat': 25.7616798, 'lng': -80.1917902}",63,37
Milwaukee,"{'lat': 43.0389025, 'lng': -87.9064736}",57,43
Minneapolis,"{'lat': 44.977753, 'lng': -93.2650108}",56,44
Nashville,"{'lat': 36.1626638, 'lng': -86.7816016}",59,41
New Orleans,"{'lat': 29.9510658, 'lng': -90.0715323}",59,41
New York,"{'lat': 40.7127837, 'lng': -74.0059413}",61,39
Newark,"{'lat': 40.735657, 'lng': -74.1723667}",67,33
Oakland,"{'lat': 37.8043637, 'lng': -122.2711137}",59,41
Oklahoma City,"{'lat': 35.4675602, 'lng': -97.5164276}",58,42
Omaha,"{'lat': 41.2523634, 'lng': -95.9979883}",57,43
Philadelphia,"{'lat': 39.9525839, 'lng': -75.1652215}",59,41
Phoenix,"{'lat': 33.4483771, 'lng': -112.0740373}",58,42
Pittsburgh,"{'lat': 40.4406248, 'lng': -79.9958864}",51,49
Plano,"{'lat': 33.0198431, 'lng': -96.6988856}",61,39
Portland,"{'lat': 45.5230622, 'lng': -122.6764816}",59,41
Raleigh,"{'lat': 35.7795897, 'lng': -78.6381787}",56,44
Sacramento,"{'lat': 38.5815719, 'lng': -121.4943996}",61,39
San Antonio,"{'lat': 29.4241219, 'lng': -98.4936282}",61,39
San Diego,"{'lat': 32.715738, 'lng': -117.1610838}",60,40
San Francisco,"{'lat': 37.7749295, 'lng': -122.4194155}",56,44
San Jose,"{'lat': 37.3382082, 'lng': -121.8863286}",60,40
Santa Ana,"{'lat': 33.7455731, 'lng': -117.8678338}",66,34
Seattle,"{'lat': 47.6062095, 'lng': -122.3320708}",55,45
Sharonville,"{'lat': 39.2681136, 'lng': -84.4132746}",55,45
St. Louis,"{'lat': 38.6270025, 'lng': -90.1994042}",57,43
Tampa,"{'lat': 27.950575, 'lng': -82.4571776}",57,43
Tucson,"{'lat': 32.2217429, 'lng': -110.926479}",58,42
Virginia Beach,"{'lat': 36.8529263, 'lng': -75.977985}",54,46
Washington,"{'lat': 38.9071923, 'lng': -77.0368707}",47,53
Yonkers,"{'lat': 40.9312099, 'lng': -73.8987469}",61,39
